,id,Median_HHI,state_code,county_code
5413,0500000US41017,63680,41,17
5414,0500000US41019,45812,41,19
5415,0500000US41021,42976,41,21
5416,0500000US41023,45357,41,23
5417,0500000US41025,41797,41,25
5418,0500000US41027,62935,41,27
5419,0500000US41029,50851,41,29
5420,0500000US41031,50339,41,31
5421,0500000US41033,43046,41,33
5422,0500000US41035,43522,41,35
5423,0500000US41037,36627,41,37
5424,0500000US41039,49958,41,39
5425,0500000US41041,46061,41,41
5426,0500000US41043,52097,41,43
5427,0500000US41045,42478,41,45
5428,0500000US41047,56097,41,47
5429,0500000US41049,55440,41,49
5430,0500000US41051,64337,41,51
5431,0500000US41053,58344,41,53
5432,0500000US41055,48056,41,55
5433,0500000US41057,47500,41,57
5434,0500000US41059,51887,41,59
5435,0500000US41061,48617,41,61
5436,0500000US41063,44953,41,63
5437,0500000US41065,50973,41,65
5438,0500000US41067,78010,41,67
5439,0500000US41069,33456,41,69
5440,0500000US41071,59484,41,71
5441,0500000US42001,64507,42,1
5442,0500000US42003,58383,42,3
5443,0500000US42005,49032,42,5
5444,0500000US42007,55828,42,7
5445,0500000US42009,49146,42,9
5446,0500000US42011,61522,42,11
5447,0500000US42013,47969,42,13
5448,0500000US42015,51457,42,15
5449,0500000US42017,86055,42,17
5450,0500000US42019,68472,42,19
5451,0500000US42021,45901,42,21
5452,0500000US42023,41485,42,23
5453,0500000US42025,53624,42,25
5454,0500000US42027,58055,42,27
5455,0500000US42029,96726,42,29
5456,0500000US42031,45625,42,31
5457,0500000US42033,47270,42,33
5458,0500000US42035,49234,42,35
5459,0500000US42037,49889,42,37
5460,0500000US42039,49144,42,39
5461,0500000US42041,68895,42,41
5462,0500000US42043,58916,42,43
5463,0500000US42045,71539,42,45
5464,0500000US42047,51112,42,47
5465,0500000US42049,49716,42,49
5466,0500000US42051,44476,42,51
5467,0500000US42053,38383,42,53
5468,0500000US42055,59713,42,55
5469,0500000US42057,51259,42,57
5470,0500000US42059,54121,42,59
5471,0500000US42061,48597,42,61
5472,0500000US42063,46877,42,63
5473,0500000US42065,46818,42,65
5474,0500000US42067,52765,42,67
5475,0500000US42069,50875,42,69
5476,0500000US42071,63823,42,71
5477,0500000US42073,48860,42,73
5478,0500000US42075,59114,42,75
5479,0500000US42077,62178,42,77
5480,0500000US42079,51646,42,79
5481,0500000US42081,52407,42,81
5482,0500000US42083,46953,42,83
5483,0500000US42085,48768,42,85
5484,0500000US42087,47526,42,87
5485,0500000US42089,63931,42,89
5486,0500000US42091,88166,42,91
5487,0500000US42093,57183,42,93
5488,0500000US42095,67565,42,95
5489,0500000US42097,47063,42,97
5490,0500000US42099,62266,42,99
5491,0500000US42109,57638,42,109
5492,0500000US42111,48224,42,111
5493,0500000US42113,47346,42,113
5494,0500000US42119,56026,42,119
